x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
6.180339887498947915e-01,-1.468304511145395175e-01,1.491525423728813637e-01
1.175570504584946274e+00,-5.729490168751576462e-01,1.983050847457626942e-01
1.618033988749894903e+00,-1.236644243122580589e+00,2.474576271186440524e-01
1.902113032590307062e+00,-2.072949016875157646e+00,2.966101694915254106e-01
2.000000000000000000e+00,-3.000000000000000000e+00,3.457627118644067687e-01
1.902113032590307284e+00,-3.927050983124841910e+00,3.949152542372881269e-01
1.618033988749894903e+00,-4.763355756877419189e+00,4.440677966101694851e-01
1.175570504584946496e+00,-5.427050983124841466e+00,4.932203389830508433e-01
6.180339887498950135e-01,-5.853169548885460927e+00,5.423728813559322015e-01
2.449293598294706414e-16,-6.000000000000000000e+00,5.915254237288135597e-01
-6.180339887498945695e-01,-5.853169548885460927e+00,6.406779661016948069e-01
-1.175570504584946052e+00,-5.427050983124843242e+00,6.898305084745761651e-01
-1.618033988749894680e+00,-4.763355756877420077e+00,7.389830508474575232e-01
-1.902113032590307062e+00,-3.927050983124842798e+00,7.881355932203388814e-01
-2.000000000000000000e+00,-3.000000000000000444e+00,8.372881355932202396e-01
-1.902113032590307284e+00,-2.072949016875158534e+00,8.864406779661015978e-01
-1.618033988749895125e+00,-1.236644243122581255e+00,9.355932203389829560e-01
-1.175570504584946718e+00,-5.729490168751580903e-01,9.847457627118643142e-01
-6.180339887498952356e-01,-1.468304511145395175e-01,1.033898305084745672e+00
-4.898587196589412829e-16,0.000000000000000000e+00,1.083050847457627031e+00
6.180339887498943474e-01,-1.468304511145390734e-01,1.132203389830508389e+00
1.175570504584945830e+00,-5.729490168751572021e-01,1.181355932203389747e+00
1.618033988749894458e+00,-1.236644243122579923e+00,1.230508474576271105e+00
1.902113032590307062e+00,-2.072949016875156758e+00,1.279661016949152463e+00
2.000000000000000000e+00,-2.999999999999999112e+00,1.328813559322033822e+00
1.902113032590307284e+00,-3.927050983124841466e+00,1.377966101694915180e+00
1.618033988749895347e+00,-4.763355756877418301e+00,1.427118644067796538e+00
1.175570504584946718e+00,-5.427050983124841466e+00,1.476271186440677896e+00
6.180339887498955687e-01,-5.853169548885460038e+00,1.525423728813559254e+00
7.347880794884118750e-16,-6.000000000000000000e+00,1.574576271186440612e+00
-6.180339887498941254e-01,-5.853169548885460927e+00,1.623728813559321971e+00
-1.175570504584945608e+00,-5.427050983124843242e+00,1.672881355932203329e+00
-1.618033988749894458e+00,-4.763355756877420077e+00,1.722033898305084687e+00
-1.902113032590306840e+00,-3.927050983124843242e+00,1.771186440677966045e+00
-2.000000000000000000e+00,-3.000000000000001332e+00,1.820338983050847403e+00
-1.902113032590307506e+00,-2.072949016875158978e+00,1.869491525423728762e+00
-1.618033988749895347e+00,-1.236644243122581699e+00,1.918644067796610120e+00
-1.175570504584946940e+00,-5.729490168751585344e-01,1.967796610169491478e+00
-6.180339887498957907e-01,-1.468304511145399616e-01,2.016949152542372836e+00
-9.797174393178825657e-16,0.000000000000000000e+00,2.066101694915253972e+00
6.180339887498939033e-01,-1.468304511145386293e-01,2.115254237288135553e+00
1.175570504584945386e+00,-5.729490168751567580e-01,2.164406779661016689e+00
1.618033988749894236e+00,-1.236644243122579256e+00,2.213559322033898269e+00
1.902113032590306840e+00,-2.072949016875155870e+00,2.262711864406779405e+00
2.000000000000000000e+00,-2.999999999999998224e+00,2.311864406779660985e+00
1.902113032590307506e+00,-3.927050983124840577e+00,2.361016949152542121e+00
1.618033988749895569e+00,-4.763355756877418301e+00,2.410169491525423702e+00
1.175570504584947162e+00,-5.427050983124841466e+00,2.459322033898304838e+00
6.180339887498960127e-01,-5.853169548885460038e+00,2.508474576271186418e+00
1.224646799147353256e-15,-6.000000000000000000e+00,2.557627118644067554e+00
-6.180339887498902396e-01,-5.853169548885462703e+00,2.606779661016949134e+00
-1.175570504584945164e+00,-5.427050983124843242e+00,2.655932203389830271e+00
-1.618033988749896235e+00,-4.763355756877416525e+00,2.705084745762711851e+00
-1.902113032590306840e+00,-3.927050983124844130e+00,2.754237288135592987e+00
-2.000000000000000000e+00,-3.000000000000007550e+00,2.803389830508474567e+00
-1.902113032590307506e+00,-2.072949016875159423e+00,2.852542372881355703e+00
-1.618033988749893570e+00,-1.236644243122577924e+00,2.901694915254237284e+00
-1.175570504584947384e+00,-5.729490168751589785e-01,2.950847457627118420e+00
-6.180339887498995655e-01,-1.468304511145417379e-01,3.000000000000000000e+00
